Title,Company,Industry,Role,Salary,City,Description,Experience,RecruiterName,RecruiterNumber,Website
Manager Healthcare Finance,StepUpFind,"Banking, Financial Services, Broking",Sales/Business Development Manager,Not Disclosed by Recruiter,nagpur,"Managing Healthcare Finance  Medical Equipment Finance, WC/OD/Infra for hospitals/ Diagnostic centers, Unsecured Loans to Doctors for entire Gujarat and MP. Maintaining relationship with Medical Equipment manufacturers and dealers. Sourcing healthcare finance business through bank branches. Cross selling Insurance, Liability and other bank products.  We have opening for Pune, Indore/Nagpur also apart from Ahmedabad.  Ahmedabad candidate would be responsible for entire Gujarat, Pune candidate for entire Maharashtra expect Mumbai, Indore/Nagpur candidate for entire MP/CG.   Candidate has to have relevant experience since this is very niche business and more or less depends to relationship with clients and ME vendors.   Required experience is between 6-12 years   Do let me know if you require any other details in reference to mentioned role. Have been looking for suitable profile for this role for long and would like to close this position immediately.",4 - 9 yrs,HR,NA,NA
Area Sales Manager- Healthcare Finance,StepUpFind,"Banking, Financial Services, Broking",Area Sales Manager,Not Disclosed by Recruiter,nagpur,"Managing Healthcare Finance  Medical Equipment Finance, WC/OD/Infra for hospitals/ Diagnostic centers, Unsecured Loans to Doctors for entire Gujarat and MP. Maintaining relationship with Medical Equipment manufacturers and dealers. Sourcing healthcare finance business through bank branches. Cross selling Insurance, Liability and other bank products. 	 We have opening for Pune, Indore/Nagpur also apart from Ahmedabad.  Ahmedabad candidate would be responsible for entire Gujarat, Pune candidate for entire Maharashtra expect Mumbai, Indore/Nagpur candidate for entire MP/CG.  Candidate has to have relevant experience since this is very niche business and more or less depends to relationship with clients and ME vendors.   Required experience is between 6-12 years   Do let me know if you require any other details in reference to mentioned role. Have been looking for suitable profile for this role for long and would like to close this position immediately.",11 - 15 yrs,HR,NA,NA
Area Sales Manager- Healthcare Finance,StepUpFind,"Banking, Financial Services, Broking",Area Sales Manager,Not Disclosed by Recruiter,nagpur,"Managing Healthcare Finance  Medical Equipment Finance, WC/OD/Infra for hospitals/ Diagnostic centers, Unsecured Loans to Doctors for entire Gujarat and MP. Maintaining relationship with Medical Equipment manufacturers and dealers. Sourcing healthcare finance business through bank branches. Cross selling Insurance, Liability and other bank products.  We have opening for Pune, Indore/Nagpur also apart from Ahmedabad.  Ahmedabad candidate would be responsible for entire Gujarat, Pune candidate for entire Maharashtra expect Mumbai, Indore/Nagpur candidate for entire MP/CG.  Candidate has to have relevant experience since this is very niche business and more or less depends to relationship with clients and ME vendors.   Required experience is between 6-12 years   Do let me know if you require any other details in reference to mentioned role. Have been looking for suitable profile for this role for long and would like to close this position immediately.",6 - 11 yrs,HR,NA,NA
Area Sales Manager,StepUpFind,"Accounting, Finance",Area Sales Manager,Not Disclosed by Recruiter,nagpur,"PFB the JD for the Role.   - Managing Healthcare Finance - Medical Equipment Finance, WC/OD/Infra for hospitals/ Diagnostic centers, Unsecured Loans to Doctors for entire Gujarat and MP.  - Maintaining relationship with Medical Equipment manufacturers and dealers.  - Sourcing healthcare finance business through bank branches.  - Cross selling Insurance, Liability and other bank products.  - We have opening for Pune, Indore/Nagpur also apart from Ahmedabad.  - Ahmedabad candidate would be responsible for entire Gujarat, Pune candidate for entire Maharashtra expect Mumbai, Indore/Nagpur candidate for entire MP/CG.  - Candidate has to have relevant experience since this is very niche business and more or less depends to relationship with clients and ME vendors.   - Required experience is between 6-12 years",6 - 11 yrs,HR,NA,NA
Opening in Nanded for Diagnostics - BD Department with Lifecell,Lifecell International Private Ltd(Asia Cryo-Cell),"Pharma, Biotech, Clinical Research",Sales/Business Development Manager,"INR 2,00,000 - 4,00,000 PA. As per industry standards + Incentives + Local Conveyance +mobile SIM Eligibility etc",nagpur,"Greetings From HR !   JOB Details  We have an opening for the designation of 'Business Development' with our Organization, Please Find below your Company's Details & Job Description below.    About the Company : Website: www.lifecell.in - Diagnostic  About Us:   BabyShield is India's comprehensive provider of preventive healthcare services with a focus on care for the health and well being of babies and mothers, right from the time of pregnancy. BabyShield presents a complete panel of pre & post-natal diagnostic tests including maternal infectious diseases test, prenatal screening, first milk test and newborn screening test.  BabyShield's testing practices are accredited by National Accreditation Board for Testing & Calibration Laboratories (NABL). Comprehensive panels, expeditious reporting and post diagnostic guidance make BabyShield a trusted partner for mother and child care during and after pregnancy. BabyShield is an initiative of LifeCell International, India's largest and most preferred stem cell bank.  Eligibility:   * Must speak in English * Must be open for field work * Must be Science graduate *Must have own gynecologist/doctors connect in Market   Job Description  (ONLY B2B)  1.       Ensure effective and efficient coverage of the assigned territory, maintaining the desired call average.  2.       Meeting with the doctors in the assigned territory on a regular basis to sustain and increase the business flow.  3.       Implement the sales strategies effectively in the assigned territory  4.       Work as per the laid down sales strategies and guidelines to achieve and exceed the assigned targets  5.       Identifying Key Accounts (Hospitals, Nursing Homes, Birthing Centers etc.) for establishing partnership with Babyshield within the assigned territory  6.       Work as per the laid down sales strategies and guidelines to achieve and exceed the assigned targets  7.       Creation and Development of accounts through interaction with the management, heads of administration, medical departments and department heads, medical superintendents etc. to promote Baby Shield  8.       Ensure sustainable inflow of enrolments from established accounts and closure of new accounts  9.       Maintain excellent relations with the established accounts in the assigned territory  10.   Organize Trainings, CMEs, Workshops and other events with the established accounts  11.   Coordination with internal departments such as Logistics, FAA and Operations to ensure smooth and effective execution of required activities  12.   Provide market feedback on a continuous basis and apprise the team leader of market trends, competition and new opportunities     SALARY PACKAGE : As per industry standards + Incentives + Local Conveyance +Mobile SIM Eligibility etc  Kindly email your cv on priyanka.r@lifecell.in for further discussion.   REFER your friends and get them along if interested",2 - 7 yrs,ThomasKeerthi,NA,NA
Operations Executive,mindZcloud Technologies Pvt. Ltd.,"IT-Software, Software Services",Fresher,Not Disclosed by Recruiter,nagpur,"Shift Timing:  2 - 11 pm  (for boys) , 9 hrs to be be split into work in office during daytime & work from home after 8  (for girls)      Immediate Joiner Preferred    Job Description:    Managing operational and administrative functions to ensure specific projects are delivered efficiently  Coordinate with external Vendors - Business Partners, Background Verification agencies, Vendor Management Organizations, Procurement teams, etc. to complete statutory requirements  Induction & On-boarding  Handling top & confidential correspondence & managing of the document flow  Serve as an intermediary for all communications directed to top management  Managing internal/external requests for appointments & arranging internal and external meetings  Maintaining and monitoring finance & accounts related plans, schedules, work hours, budgets and expenditures  Preparing drafts, minutes of meeting  Management of miscellaneous issues & their documentation   Provide administrative support to Operations & Business team and drive different processes  Setting, communicating and maintaining timelines and priorities on every project.  Assist in undertaking & completing various tasks required for the smooth running of the company.     Requirements     Proven work experience in handling operations,  managing and communicating to stakeholders   Solid experience of handling confidential information & sensitive data  Exemplary communication & interpersonal skill  Outstanding organizational and time management skills  Ability to multitask and prioritize daily workload  Ability to work accurately under stress  Should be ready to work in fast-paced start-up environment    :",1 - 2 yrs,SakshiGoyal,NA,https://www.mindZcloud.com
Job Opening for Sales with Radiocity @ Nagpur,Music Broadcast Limited,"Media, Entertainment, Internet",Sales/Business Development Manager,Not Disclosed by Recruiter,nagpur,"Ad sales/space selling/event sales to acquire and negotiate with new clients by studying and understanding their requirements and preparing presentations, proposals, contacts accordingly 	To prepare sales reports including daily call reports, weekly reports, sales projection reports, monthly sales plan etc. through competition tracking & market analysis 	To constantly follow up with the client so that the collections are met",2 - 7 yrs,AnushreeGoel,91-22-66969105,NA
"Sales Officer- Construction Chemicals- Nagpur, Amravati &amp; Akola",Resinova Chemie Ltd,"Construction, Engineering, Cement, Metals",Sales Executive/Officer,Not Disclosed by Recruiter,nagpur,"Roles and responsibilities 1.	Projects sales, Sales planning and new Client identification for construction chemicals, grouts & aids in territory.  2. New Product launching.  3.	Capability to set new distribution network  4.	Capability to handle distributors.  5.	Understand competitor products available in market, convey the required information to the management regarding new products that can be started to improve our presence in construction chemicals field.  6.	Specifications Preparation and sampling of new products to the consumers.  7.	New application identification, introduction of new techniques that can be used for water proofing or construction repairs.  8.	Organizing seminar and meets on construction chemicals to Builders, water proofing contractors & architects.  9.	Should have good contacts with Architects, Builders and water proofing contractors,  10. Will be covering more than 02-03 districts Required Candidate profile1.	Should have worked in construction chemical manufacturing company, 2.	Knowledge of water proofing techniques and 05-06 yrs experience in selling construction related products through retail counters, applicators, contractors and architects. 3.	He should have knowledge of working of concerned geographical area.Perks and Benefits Ta/da, Incentives etc.",2 - 5 yrs,Mr.Manish,NA,http://careers.resinova.com
Hiring Talent Acquisition Specialist @ Perficient! [US Based MNC,Perficient India Pvt Ltd.,"IT-Software, Software Services",Recruitment Executive,Not Disclosed by Recruiter,nagpur,"Key Responsibilities    Sourcing Technical candidates of Level 2 & 3, Managerial & Senior Managerial as per the requirement. Apart from Job portals, should be Proficient on resume search by using various search engines like Google, LinkedIn, headhunting, personal network etc. Accountable for the End to End RECRUITMENT: right from acquiring profiles, conducting Personal-HR interview and Ensuring Candidate joins on stipulated date by continuous follow up. Should have effective Convincing and negotiation skills to impress and attract top talent. Should be strong in implementing unique marketing strategies and campaigns to attract top talent from the industry. Understand the requirement from the Hiring Managers & accordingly create comprehensive job description to be used to share with candidates. Building internal database and network of technical candidates Should possess strong follow-up skills till the candidate joins, maintain post offer follow and handled issues related to Offer / Joining Date / On Boarding CTC as applicable. Sourcing to Interview ratio & Offer to Join ratio should be higher. Monitoring the hiring cost to be within agreeable limits by effective sourcing of profiles, on time joining to avoid billability loss etc. MIS, Creating reports on need basis. Facing internal audits, preparing Recruitment related quality documents.    Qualification/Requirements:    Min.4 years of Experience in Technical Recruiting Recruiting for software, Information Technology or hardware positions. Prior experience working in a fast-paced environment is desired. Excellent verbal/written communication and interpersonal skills. Strong ability to multi-task and handling multiple projects at the same time. Computer savvy with Microsoft Office applications. Professional phone presence. Team player [Independent and motivated without much supervision].    Nice-to-have Requirements:    Hands on working experience on Senior Level Positions  Kindly share your updated profile on   GDCTA@PERFICIENT.COM   or call on 0712 -2227147.  Regards, TA Team",3 - 5 yrs,AmitPrayagi,NA,NA
Regional Business Manager,India Shelter Finance Corporation Limited,"Banking, Financial Services, Broking",Regional Sales Manager,"INR 8,00,000 - 13,00,000 PA.",nagpur,"Dear All,    We have an opening for  Regional Business Manager     We Location:  Nagpur   Product -  Affordable Home loan/Lap     Job Profile -: Taking care of sales to achieve targets and growth across the area. Forecasting and planing monthly, quaterly & annual sales targtes and executing them in given time frame. Analyse the marketing trends and track competitors activities and policies giving valuable inputs to improve business quality and sourcing new opportunities and market development . To Identify new area and location for opening of new branches, planning for the success and to give profitabilty in short time. Recruiting and  training newly appointed team members  to deliver sales number effectively . [DOCUMENT TITLE]  Analysing the portfolio,  taking care of collections, trends and numbers to ensure that branch has maintain the deliqunecy under control. Design strategy and marketing plan for non performing branches and sales team so that they can deliver better performance . Estabalish these branches in system to give sales. Make marketing plan for better productivity of the branches.       CTC  - 8 L - 13 L     Note - Interested Candidates Can Shared Their CV's on  anita.adhikari@indiashelter.in",5 - 10 yrs,Prashant,NA,NA
Video Editor,Accost Digital Services Pvt Ltd,"Advertising, PR, MR, Event Management",Media Planning Executive/Manager,"INR 1,25,000 - 3,00,000 PA.",nagpur,Role of Video Editor at our organization leads to creation /editing of videos to achieve purpose of visual communication through multiple digital channels/platforms,0 - 3 yrs,RahulBais,NA,NA
"Graphic Designer,",Accost Digital Services Pvt Ltd,"Advertising, PR, MR, Event Management",Graphic Designer,"INR 1,50,000 - 3,00,000 PA.",nagpur,Role of Graphics Designer at our organization is lead to creation of graphical content to communicate with large size of audiences through different campaigns on digital tools and mass media.,0 - 3 yrs,RahulBais,NA,NA
"Event Manager,",Accost Digital Services Pvt Ltd,"Advertising, PR, MR, Event Management",Events/Promotion Manager,"INR 1,50,000 - 3,00,000 PA.",nagpur,"We are searching for an enthusiastic Event Manager with a ""can-do"" attitude to assist our organization in hosting events that enhance our organization's image, improve client loyalty, and enhance our brand-to-client experience. The Event Manager will be tasked with researching and securing venues, planning and managing our events' calendar, negotiating quotes and agreements with vendors, assisting with event marketing, monitoring timeframes and budgets, networking, and delivering on event brief objectives. Your creativity, organizational skills, and vision will assist our organization in amplifying brand visibility, enhancing client and employee relations, and improve our organization's growth through events that effectively communicate business strategy and brand personality.  The ideal candidate for this role should demonstrate exceptional organizational abilities, superb interpersonal skills, multi-tasking skills, and excellent time-management. The noteworthy Event Manager should reinforce client-to-business relations, improve the organization's image, and effectively deliver on event objectives.",0 - 3 yrs,RahulBais,NA,NA
"Business Development Manager,",Accost Digital Services Pvt Ltd,"Advertising, PR, MR, Event Management",Sales/Business Development Manager,"INR 1,25,000 - 3,25,000 PA.",nagpur,"We invite and welcome talented ,super and ambitious sales people in our team , if you are hungry for growth and trying to build a long term career in sales then don't miss this chance to challenge and develop your sales skills. Below are the key responsibilities which we want to give on your shoulder.  1. Do a B2B sales meeting  2. Deliver company products services presentation 3. Create enthusiasm in prospects to get sales deal close 4. Continue follow up to get deal closed 5. Provide after sales support /meeting",0 - 3 yrs,RahulBais,NA,NA
Asp.net Developer,CONCOURSES SOLUTIONS PVT LTD,"IT-Software, Software Services",Software Developer,Not Disclosed by Recruiter,nagpur,"We are looking for an ASP .Net Developer that will be able to develop and support existing applications. The main scope of work will include everything from back-end to client side code, using optimal and efficient technologies, framework and patterns. Your primary responsibilities will be to design and develop those applications. The Application developer will play a key role defining and implementing a robust software architecture. He/she must have initiative, drive and strong work ethic. The position balances a fast pace work environment with doing things meticulously and properly, working independently within highly collaborative integrated teams; creating new code with ensuring it doesn't break the previous version. The perfect candidate should love solving complex technical problems across all levels of software architecture, development and debugging.     Key Responsibilities:    Design, develop and maintain both new and existing code, ranging from client side development using Javascript, HTML and CSS to server side code using C# and ASP .Net, MVC, Web API, Windows Services and ADO .Net for data persistent and retrieval.   Write readable, extensible, testable code, while being mindful of performance requirements.  Create, maintain and run unit tests for both new and existing code with a goal of delivering defect-free  and well tested code to QA.  Work with management to create and adhere to schedules while maintaining flexibility to adapt to shifting market demands.  Translate mockups and wireframes into functioning fron-end code.   Write and maintain documentation for new and existing features.  Keep up-to-date on best practices and new technologies  Rapid prototyping and presenting conceptual design and working prototypes to management.  Conduct Design and code reviews and collaborate to ensure your own code passes review.  Work with product management to analyze requirements.  Collaborate on technical Architecture and design.  Version control with Perforce.",3 - 8 yrs,PramodWankhede,9766916660,http://www.concoursesols.com
"Customer Care Executive, Technical Support Executive",International BPO,"BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),"INR 2,50,000 - 4,00,000 PA. Relocation Bonus(upto 10,000) + 15 Days Accommodation + Travel Reimbursement(700rs) + Incentive/perks",nagpur,"Customer Support   (Back Office/ Voice/Non-Voice Support)    Technical Support   (International Voice Support)         JOB LOCATION:  INDORE | JAIPUR | MOHALI   _________ __________ __________ __________ __________    The candidate is required to attend to the customer calls and provide them with the required information.  The candidate should be able to understand the client's complaints and work upon resolving them.  The candidate will be responsible for efficient dealing of complaints to completion and enabling satisfaction of the customer.  Candidate with good customer service skills would be preferred.   _________ __________ __________ __________ __________       Experience:   Both Freshers, Experienced candidates, can apply   Education:   High School/Graduates/B Tech/Dropouts     Apply Immediately!!!",0 - 5 yrs,Teleperformance,NA,NA
HR  Assistant Manager,Virtuous Retail property Services LLP,"Retail, Wholesale",HR Manager,"INR 3,00,000 - 7,00,000 PA.",nagpur,"Adhering to the HR SOP guidelines; 	Ensure timely execution of hiring cycle as per the defined TAT 	Ensure complete documentation/ necessary approvals are in place for all the hiring(s) done; 	Ensure completion on the new joinee onboarding exercise as per the defined TAT; 	Seeking timely feedback from the employee and employees reporting manager (From employee to understand how has the transition phase/ experience been and from the Manager, seeking employees performance feedback);",3 - 4 yrs,Shobha,NA,NA
Medical Officer for School Health Screening,Ameya Life,"Medical, Healthcare, Hospitals",Medical Officer,Not Disclosed by Recruiter,nagpur,"Roles and responsibilities Conduct medical screening of Tribal Welfare school children in the following regions of Maharashtra: Thane, Nashik,Nagpur & AmaravathiRequired Candidate profileLooking for a dynamic doctor with a passion for screening and compassion towards school children and their health.Perks and Benefits INR 50000/month Negotiable",0 - 2 yrs,NA,NA,NA
"Business Support Executive- Chennai, Indore and Nagpur",Girnar Software Pvt. Ltd.,"BPO, Call Centre, ITeS",Sales Executive/Officer,"INR 80,000 - 2,00,000 PA. Incentives",nagpur,"Dear Candidate !!  Greetings from BikeDekho !!  We are looking for a  Dynamic, Enthusiastic, Energetic  professional for the role of a  ""Business Support Executive""  with us.    Locations Open     : Chennai, Indore and Nagpur Designation        : Business Support Executive     Roles & Responsibilities:    Accountable for new acquisitions of Bike Dealers in his region  Accountable for business from Bike Dealers, Bike OEMs  Responsible for the following up on all the leads forwarded to the dealerships.  Responsible for the follow up on hot/lost leads, Booking & Retail confirmations.  Need to take follow ups on the Test Drive scheduled to the customers  Revenue collection from the dealerships.  Handling all the dealer related issues and enclosure of the same.  Need to check service parameter on regular interval at Dealer to ensure better delivery of services.  Building cordial relationship with Dealers.  Taking regular feedback from dealer & executing improvisation plan for the same.  Sales & Business Development profile (B2B)    Desired profile:    Sales Experience is required.  Graduate is a must.  Should be comfortable in regional language.  Should be open to travel  Good Knowledge in Excel & Email writing skills.    Salary Structure:     Negotiable as per company norms   Interested candidates may share a updated CV on  mayantika.singh@girnarcare.com  or contact on  +91-9116670425",1 - 5 yrs,Mayantika,9116670425,NA
Hiring for Nutritionist - Nagpur/bhopal/raipur/indore/mumbai,Guardian Healthcare Services Private Limited,"Retail, Wholesale",Other,"INR 50,000 - 2,50,000 PA.",nagpur,"Job Description:     1)Providing health advice and promoting healthy eating advise about special diets 2)Respond to customer questions and concerns related to nutrition and food safety. 3)Participates in planning and executing nutrition outreach in the community 4)Fosters relationships with local business, schools and healthcare facilities to partner providing nutrition education both in and outside of the store. 5)Monitors issues and trends relevant to food products. 6)Represents company at professional meetings, conference and trade shows",1 - 5 yrs,Neha,4777300,NA
Asp.net Developer,InfoCepts Technologies Pvt. Ltd.,"IT-Software, Software Services",Software Developer,Not Disclosed by Recruiter,nagpur,"Roles and responsibilities We are Hiring!!!   We have urgent job opportunity in Nagpur for ASP.NET Developer.   Relevant skill: API, Azure and ASP.NET   Relevant experience: 5 to 10 Years   Location: Nagpur  Candidate should have notice period below 15 Days   If interested please share your updated resume @ apatil@infocepts.com",5 - 10 yrs,AbhijeetDhawale,NA,NA
QCE Engineer,Larsen & Toubro Limited,"Oil and Gas, Energy, Power, Infrastructure",Quality Assurance/Quality Control Executive,Not Disclosed by Recruiter,nagpur,"Should have knowledge on static fabrication and machining components inspection Fair understanding of Indian and international codes and standards - ASNT Level II in Magnetic Particle Testing (MPT), Liquid Penetration Testing (LPT), Radiographic Testing (RT), Ultrasonic Testing (UT)  Knowledge of inspection for all incoming materials, verification and inspection of materials, review of test certificates  Knowledge of welding, WPS, PQR, WPQ  Inspection knowledge of fit-up, weld visual, alignment, out of roundness checking as per drawing  To ensure that complete fabrication work is done in accordance with the job procedure and stage inspections as per the approved QAP are carried out  Preparing final document as per client requirement  Ability to develop relationship with client and vendor  Adaptive nature  Convincing and influencing skills  Willing to travel to vendor places for inspection",5 - 10 yrs,HRTeam,NA,NA
Branch Head,Muthoot Finance Ltd,"Banking, Financial Services, Broking",Branch Manager,+ Additional Incentives + Other Benefits,nagpur,"Greetings from Muthoot Finance Ltd !!!      The Muthoot Group  is conducting direct walk-in interviews for the  Branch Manager / Assistant Branch Manager  positions for various locations in Punjab. The eligibility criteria for Branch Manager is mentioned below.     Direct Walk-in Interview Details:          Venue for Interview :    Muthoot Finance Ltd,1st Floor, Plot No.59, Gandhi Grain Market, Near Telephone Exchange Square, C A Road, Nagpur, Pin 440 008         Time and Date: 02-05-19 (Thursday), 10 AM to 4 PM         Documents to carry:-  1) Updated Resume 2) 2 recent passport size photographs 3) Aadhaar Card & PAN Card 4) Experience Letters showing work experiences     Job Locations :-      Jhansi, Vidisha, Indore, Betul, Sagar, Jaora, Ratlam, Nagpur, Chhindwara, Raipur, Bhandara, Degloor, Balod, Dhamtari, Mugeli, Janjgir, Kawardha, Kamptee, Katni, Jagdalpur           Job Description:            Responsible for timely Opening of branch along with a guard and one staff every morning.    Conducting Morning Meeting as per the guidelines from CO (N) at sharp 9.00 AM.    D  iscussion of Circulars/IOMs issued by CO(N).    Submitting Daily Work Plan to Regional Manager as per the guidelines.    Conducting morning team meeting to review & appreciate the team for target achievement in each Products.    Collection of Daily work Plan from all Branch   staff and prioritize & allocate works among Staff.    Review/Compliance the Customer Complaints if any.     Recommendation and sanctioning of of ACR, Pending leave & other employee request  of employees  Branch Manager to tally the gold loan packets at the day end as per the process laid down at organization.    Responsible for planning & conducting weekly marketing activity for increasing footfall in the branch.    Responsible for Target allocation of all Products to the Branch staff well in time.    Review of NPA Recovery/Auction identified accounts and ensuring meeting two NPA customers daily    Ensuring meeting at least two HNI customer everyday morning/evening so as to promote company new products & offerings.     Monitoring office activity, including number of transactions, loan volume, sales volume etc.     Maintenance of Important registers/documents/KYC in branches to ensure AUDIT & Statutory compliance    Ensuring systems & procedures for all daily activities in all dealings as per the guidelines of audit & CO (North).    Review of Spurious/Less purity/Fraud/Dacoity/Packet-Item Missing/Police Seizure/ Insurance claim cases.     Review the Progress of Legal cases pending if any.    Ensuring Safe Custody of Valuables & Surveillance over Branch transactions.    Identify the training needs of the staffs and ensuring the commencement of same.     Branch Manager to conduct the Quarterly Physical Verification of packets and submission of the Managers Certificate.    Daily evening Reporting to Regional manager regarding achievement of the daily activity.    Ensuring effective utilization of HRMS/FAMS/CRM/CBS.    Ensuring upkeep of the branch and maintaining glow signs & other marketing collateral.    Proper record and track of IOMs, rent agreements, renewal dues, tax details, statutory & compliance, TDS  & guard payments.    Ensuring timely coordination with Regional/corporate office.",5 - 10 yrs,"HRD,MuthootGroup",NA,https://www.muthootgroup.com/
"Supervisor- Sales, Nagpur, Maharashtra",Globus Stores Pvt. Ltd.,"Retail, Wholesale",Retail Store Manager,"INR 2,00,000 - 3,00,000 PA. Perfornance incentives",nagpur,"Implementation of all Standard Operating Procedures in the department/s and ensuring implementation of checks to manage shrinkage  	Ensuring effective implementation action plans created during the development centre for the employees in respective department/s  	Carrying out reviews with team on a regular basis and giving them feedback on the people skills and selling style  	Keeping track of employee motivation and attrition rate in the store  	Correct number of staff, well deployed and trained to delight the customer  	Ensuring allocation of targets for all the employees in the departments and its communication to the staff  	Ensuring achievement of set targets and communication of incentive programs in the departments  	Ensuring training is carried out on regular basis and post training implementation and assessment of learning is carried out  	Proper scheduling of staff to ensure Customer Delight",2 - 5 yrs,ParimalHiwrale,NA,NA
Branch Head,Muthoot Finance Ltd,"Banking, Financial Services, Broking",Branch Manager,Salary + Allowances + incentives,nagpur,"JOB DESCRIPTION FOR BRANCH MANAGER / ASSISTANT BRANCH MANAGER    Target achievement of the branch.  Cross selling of all products and increase in walk-in of the branch.  Error-free audit reports and proper compliance being followed at the branch.   Maintaining punctuality, Discipline and high level of Morality in tune with the ethics & values of Muthoot Group.  Cost control  Overall incharge & responsible for Business development and efficient running & managing  of the branch including operations, Lending, Product Sales, cross sell, Customer Service, Security and Safety in accordance with the Companys objectives/Guidelines.   Ensure a superior level of customer relations and promote the sales and service culture     ELIGIBILITY CRITERIA    Candidates retired from Government Bank from Scale II or more and age upto 62 Years  Candidates working in private bank as Assistant Manager or more and minimum age must be 30 years  Candidates retired from Air Force, Army or Navy as Sergeant or JWO (or equivalent to them)     JOB LOCATIONS      Kamptee, Nagpur, MH  Kawardha, CG  Raipur, CG  Mungeli, CG  Bilaspur, CG  Dhamtari, CG   Katni, MP  Pandhurna  Gangakhed, MH       Interested candidates may walk-in for interview at the below mentioned address :        Muthoot Finance Ltd.    Regional Office - Nagpur    1st Floor, Premises No. 15, Plot No 59,    Gandhi Grain Market, Near Telephone Exchange Chowk,    Nagpur - MH.",5 - 10 yrs,JimJohnMathew,8129688655,http://www.muthootfinance.com/
Indore | International BPO | Ecommerce | Airlines | Tech | Back Office,International BPO Services India,"BPO, Call Centre, ITeS",Fresher,"INR 2,50,000 - 4,00,000 PA. Relocation Bonus(upto 10,000) + 15 Days Accommodation + Travel Reimbursement(700rs) + Incentive/perks",nagpur,"_________ __________ __________ __________ __________    Customer Support   (Back Office/ Voice/Non-Voice Support)    Technical Support   (International Voice Support)     _________ __________ __________ __________ __________  CALL NOW:  +91.9370389752 - Incase of anything  _________ __________ __________ __________ __________   Open Position:  23  JOB LOCATION:  INDORE | JAIPUR | MOHALI   _________ __________ __________ __________ __________    The candidate is required to attend to the customer calls and provide them with the required information.  The candidate should be able to understand the client's complaints and work upon resolving them.  The candidate will be responsible for efficient dealing of complaints to completion and enabling satisfaction of the customer.  Candidate with good customer service skills would be preferred.   _________ __________ __________ __________ __________       Experience:   Both Freshers, Experienced candidates, can apply   Education:   High School/Graduates/B Tech/Dropouts     Apply Immediately!!!   In case of any clarification feel free to reach out to self.   All the Best!!!!  _________ __________ __________ __________ __________   Regards,    Shrey V   Lead || Talent Acquisition +91.9370389752",0 - 5 yrs,HR,9370389752,NA
Jr Relationship Exe / Customer Care Exe,Muthoot Finance Ltd,"Banking, Financial Services, Broking",Fresher,Salary + Allowances + incentives,nagpur,"The Muthoot Group is conducting walk-in interview drive from 29th Mar'2019 to 30th Mar'2019. Its a great opportunity for freshers to start you career and for experienced candidates to excel you career and skills.    RE Vacant Location:     Nagpur MH  Bhilai CG  Raipur CG  Rajhim CG  Bhatapara CG    CCE Vacant Location:     	Basmat Nagar MH  Parbhani MH  Janjgir CG  Mungeli CG  Wani MH  Rajhim CG    BDO Vacant Location:     	Amaravati     INTERVIEW DETAILS AND JOB DESCRIPTION ARE GIVEN BELOW:     Interview Venue:    Muthoot Finance Ltd,1st Floor, Plot No.59, Gandhi Grain Market, Near Telephone Exchange Square, C A Road, Nagpur, Pin 440 008     Interview Date:  29 Mar 2019 - 30 Mar 2019  Interview Timings:  10:00 AM - 5:00 PM   Minimum Education Qualification :-  Must be a Graduate (B.Com / BBA / B Sc (Maths) Only) JOB DESCRIPTION FOR JRE / RE (Relationship Executive) (Males Preferred) 	Responsible for attending walk -in clients at Branches. 	Responsible for accepting & appraising gold jewellery as per company norms. 	Ensuring proper Verification & Valuation of Collateral Securities and Documents. 	Responsible for processing/ documentations of Loans & other financial services. 	Responsible for cross selling of all products and achieving of individual & branch targets. 	Responsible for conducting field visits and meeting corporate customers for business development. 	Responsible for ATM monitoring & functioning if the same is attached to the branch. 	Ensuring following of all procedures & policies as per laid down by the organization. 	Coordination with various Banks & preparation of BRS. 	Responsible for completion of all Accounts related works in the branch. 	Responsible to maintain up-keep of the branch and ensure confidentialy in all dealings. 	Responsible for tele-calling customers for following up on interest collection regularly. 	Candidate's age must be below 30 years and a regular graduate  JOB DESCRIPTION FOR CCE (Customer Care Executive) (Females Preferred) 	Manages all customer communication with the appropriate level of etiquette, timeliness and professionalism. 	Generate business and leads for new loans from new customers 	Handle branch walk-ins for business generation 	Generate referrals through existing customer base and walk-ins. 	Meetings with HNI, corporates and institutional clients to promote gold loan proposition. 	To handle customer requests and complaints and take it to closure. 	Understand the need of the customer and cross sell other products accordingly. 	Generate business and leads for other products like insurance, NCDs, gold coin etc. 	Enter meetings, leads, conversions(self-sourced and referred leads) in play book/CRM daily 	Conducting outbound marketing activities to ensure continuous Walk-In the branches and a regular graduate  JOB DESCRIPTION FOR BDO (Business Development Officer) 	Acquiring new clients and marketing agents for sales of Muthoot financial products 	Generating revenue through sales of distribution products 	Building a strong referral base from existing customers 	Client Meeting and handling Walk-in Clients. 	Revenue generation through sales of Muthoot Financial Products. 	Candidate's age must be below 32 years Kindly come in formals at the time of interview along with your updated resume, Aadhar Card, Pan Card, Passport Size photographs and bring the 3 months salary slips if you are having some experience.   Thanks & Regards Regional HR The Muthoot Group hrbpl@muthootgroup.com",0 - 4 yrs,HRD,8129688655,https://www.muthootgroup.com
